"Choice","A_follower_count","A_following_count","A_listed_count","A_mentions_received","A_retweets_received","A_mentions_sent","A_retweets_sent","A_posts","A_network_feature_1","A_network_feature_2","A_network_feature_3","B_follower_count","B_following_count","B_listed_count","B_mentions_received","B_retweets_received","B_mentions_sent","B_retweets_sent","B_posts","B_network_feature_1","B_network_feature_2","B_network_feature_3","Source","Target"
0,228,302,3,0.583979387611,0.100503358535,0.100503358535,0.100503358535,0.362150068203,2,166.5,11355,34463,29808,1689,15.4304976173,3.98402880489,8.20433119845,0.332423043719,6.98881495679,66,75.5303030303,1916.89393939,"746b273281cb71387484892b4ed62262","4f4e389c9a959e94c037c773ba6a100c"
0,21591,1179,228,90.4565058494,25.7982917525,5.70932864827,1.11115882218,5.17662002447,369,18.4429708223,1330.36604775,39262,848,1610,40.4950207027,8.9436069153,3.22767690032,0.564342728903,1.07032070863,163,132.030674847,2931.51533742,"26c7ca98e9efccecf38ea945ce6d9285","2925a50dfe8f204c470410ce494bd6d5"
0,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.100503358535,0.603202316762,3,10.3333333333,277.333333333,"e1b544fd51c1183610170a3b785301c9","9adca529a5570244b7f99aa5c5a248e9"
0,20,7,2,7.69082373179,0.277305640849,1.33150797971,0.100503358535,2.83062680131,6,2,96.1666666667,19562,17637,278,572.874855518,390.2936809,27.5520404128,7.16755674559,32.1019061639,1762,23.4692957746,1395.8456338,"e83fa4f29d6bb8c387bf7a6320eedeb1","3cb88b58f64c8b91e0d7569881046a40"
1,45589,862,2641,148.854279232,36.998883856,27.8817679309,3.33349180419,23.8612817152,551,127.404293381,2833.84794275,7554,1711,181,21.6018659681,3.58166112737,6.76465704261,1.11972669857,4.56324632433,85,48.5,1993.62790698,"4116e9b21d9564f5969e88bdf3c2e53a","3fef60e1edaf3b953b2ea5346ac20a0f"
0,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,11147,1500,474,40.5925124122,5.92300880671,19.6480644548,1.86176520715,12.2610292136,128,107.431818182,2481.13636364,"ed70abc063ae53464f8c65f443f59781","5387d53d1f38b9d879d9a54d3c38b5e8"
0,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,185616,1001,15117,266.013873916,54.3452304246,13.1119037493,0.334765666801,13.6651725665,928,172.986228814,5321.64618644,"ed70abc063ae53464f8c65f443f59781","257d0c539a385a457657e5162fa10dd3"
1,9512,12,213,52.1670684554,23.1822884278,0.362150068203,0.100503358535,6.80604525921,195,11.6785714286,564.040816327,8120,710,959,7.36864290244,2.08837479699,1.59879785994,0.595812012439,1.33284944416,29,205.533333333,4302.46666667,"c46e365bc95fdf7e50b3faa737363e99","99d1bcf82260f90e5752887203aceaf3"
1,2273871,4524,11946,6782.40533805,2944.52424508,12.9557232877,2.79186097666,66.2062083002,21678,6.8593643121,1113.2020156,298668,551,6209,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,2021,75.9700980392,3865.44656863,"f54d79180ef2736aaedf49fbac6928b7","3f8be73a90d69e0188a73bc7bfd19418"
0,182598,1402,3831,145.844909693,74.002957632,23.5491892963,0.100503358535,15.9532425551,567,276.496515679,8038.06620209,117913,1299,9950,189.755229794,67.3102230393,11.2948306946,2.56726916744,10.9337661034,791,185.542032622,5535.93977415,"08d39bc72635ef461a879a491beaff33","399a076da30da72a6cfe461eb4cc9b7f"
0,3200,3256,146,0.290192078012,0.100503358535,0.362150068203,0.100503358535,0.362150068203,1,0,11,322682,37601,22232,176.533715916,42.3302213798,6.84922722869,1.3450733981,4.35986544828,696,234.338068182,7168.46448864,"52ea727179153b8a4df5e8efdc567420","d79f4a633ee8e2603b825ef088447db0"
